words,c1,c2,c3,c4,c5,score
moult,m,o,u,l,t,966
perky,p,e,r,k,y,966
waver,w,a,v,e,r,966
anode,a,n,o,d,e,965
broad,b,r,o,a,d,965
dodge,d,o,d,g,e,965
mover,m,o,v,e,r,965
value,v,a,l,u,e,965
swift,s,w,i,f,t,964
poker,p,o,k,e,r,963
rover,r,o,v,e,r,963
triad,t,r,i,a,d,963
voter,v,o,t,e,r,963
broth,b,r,o,t,h,962
downy,d,o,w,n,y,962
drill,d,r,i,l,l,962
swear,s,w,e,a,r,962
theme,t,h,e,m,e,962
utile,u,t,i,l,e,962
grout,g,r,o,u,t,961
sweep,s,w,e,e,p,961
canal,c,a,n,a,l,960
clink,c,l,i,n,k,960
fully,f,u,l,l,y,960
gazer,g,a,z,e,r,960
skill,s,k,i,l,l,960
coral,c,o,r,a,l,959
liner,l,i,n,e,r,959
noble,n,o,b,l,e,959
spool,s,p,o,o,l,959
crisp,c,r,i,s,p,958
flail,f,l,a,i,l,958
sheik,s,h,e,i,k,958
wordy,w,o,r,d,y,958
burnt,b,u,r,n,t,957
curvy,c,u,r,v,y,957
fever,f,e,v,e,r,957
reedy,r,e,e,d,y,957
rogue,r,o,g,u,e,957
choir,c,h,o,i,r,956
hasty,h,a,s,t,y,956
pooch,p,o,o,c,h,956
smear,s,m,e,a,r,956
tilde,t,i,l,d,e,956
halve,h,a,l,v,e,955
lathe,l,a,t,h,e,955
serif,s,e,r,i,f,955
slung,s,l,u,n,g,955
splat,s,p,l,a,t,955
brass,b,r,a,s,s,954
crook,c,r,o,o,k,954
flash,f,l,a,s,h,954
paddy,p,a,d,d,y,954
carol,c,a,r,o,l,953
crawl,c,r,a,w,l,953
frisk,f,r,i,s,k,953
geeky,g,e,e,k,y,953
maker,m,a,k,e,r,953
bowel,b,o,w,e,l,952
chief,c,h,i,e,f,952
loath,l,o,a,t,h,952
squat,s,q,u,a,t,952
stock,s,t,o,c,k,952
stork,s,t,o,r,k,952
clear,c,l,e,a,r,951
dilly,d,i,l,l,y,951
layer,l,a,y,e,r,951
minty,m,i,n,t,y,951
wrest,w,r,e,s,t,951
alloy,a,l,l,o,y,950
cheek,c,h,e,e,k,950
harpy,h,a,r,p,y,950
lanky,l,a,n,k,y,950
split,s,p,l,i,t,950
tooth,t,o,o,t,h,950
unite,u,n,i,t,e,949
worst,w,o,r,s,t,949
aider,a,i,d,e,r,948
amity,a,m,i,t,y,948
grind,g,r,i,n,d,948
smith,s,m,i,t,h,948
tiger,t,i,g,e,r,948
verge,v,e,r,g,e,948
cabby,c,a,b,b,y,947
frond,f,r,o,n,d,947
leash,l,e,a,s,h,947
spasm,s,p,a,s,m,947
trick,t,r,i,c,k,947
vaunt,v,a,u,n,t,947
black,b,l,a,c,k,946
burst,b,u,r,s,t,946
lover,l,o,v,e,r,946
crept,c,r,e,p,t,945
handy,h,a,n,d,y,945
plank,p,l,a,n,k,945
reach,r,e,a,c,h,945
blurt,b,l,u,r,t,944
scour,s,c,o,u,r,944
tipsy,t,i,p,s,y,944
agony,a,g,o,n,y,943
chest,c,h,e,s,t,943
caulk,c,a,u,l,k,942
gavel,g,a,v,e,l,942
lodge,l,o,d,g,e,942
mower,m,o,w,e,r,942
ounce,o,u,n,c,e,942
putty,p,u,t,t,y,942
timer,t,i,m,e,r,942
wafer,w,a,f,e,r,942
strut,s,t,r,u,t,941
tweet,t,w,e,e,t,941
blind,b,l,i,n,d,940
crush,c,r,u,s,h,940
droll,d,r,o,l,l,940
leapt,l,e,a,p,t,940
prick,p,r,i,c,k,940
rower,r,o,w,e,r,940
shuck,s,h,u,c,k,940
slurp,s,l,u,r,p,940
amuse,a,m,u,s,e,939
cameo,c,a,m,e,o,939
drink,d,r,i,n,k,939
flank,f,l,a,n,k,939
gully,g,u,l,l,y,939
homer,h,o,m,e,r,939
steal,s,t,e,a,l,939
bevel,b,e,v,e,l,938
death,d,e,a,t,h,938
exile,e,x,i,l,e,938
gnome,g,n,o,m,e,938
pixie,p,i,x,i,e,938
plain,p,l,a,i,n,938
chain,c,h,a,i,n,937
comfy,c,o,m,f,y,937
dryer,d,r,y,e,r,937
fussy,f,u,s,s,y,937
jolly,j,o,l,l,y,937
stood,s,t,o,o,d,937
bawdy,b,a,w,d,y,936
decay,d,e,c,a,y,936
pleat,p,l,e,a,t,936
sworn,s,w,o,r,n,936
toddy,t,o,d,d,y,936
banal,b,a,n,a,l,935
blink,b,l,i,n,k,935
cheat,c,h,e,a,t,935
delve,d,e,l,v,e,935
dully,d,u,l,l,y,935
eaten,e,a,t,e,n,935
model,m,o,d,e,l,935
smirk,s,m,i,r,k,935
weedy,w,e,e,d,y,935
wrath,w,r,a,t,h,935
agape,a,g,a,p,e,934
brood,b,r,o,o,d,934
budge,b,u,d,g,e,934
fewer,f,e,w,e,r,934
hurry,h,u,r,r,y,934
scion,s,c,i,o,n,934
clasp,c,l,a,s,p,933
color,c,o,l,o,r,933
couch,c,o,u,c,h,933
dryly,d,r,y,l,y,933
hotel,h,o,t,e,l,933
ruler,r,u,l,e,r,933
spoon,s,p,o,o,n,933
dowry,d,o,w,r,y,932
drift,d,r,i,f,t,932
piper,p,i,p,e,r,932
repay,r,e,p,a,y,932
scorn,s,c,o,r,n,932
sting,s,t,i,n,g,932
elude,e,l,u,d,e,931
femme,f,e,m,m,e,931
moldy,m,o,l,d,y,931
reply,r,e,p,l,y,931
scalp,s,c,a,l,p,931
amaze,a,m,a,z,e,930
click,c,l,i,c,k,930
easel,e,a,s,e,l,930
scold,s,c,o,l,d,930
venue,v,e,n,u,e,930
bring,b,r,i,n,g,929
brook,b,r,o,o,k,929
clang,c,l,a,n,g,929
valve,v,a,l,v,e,929
brawl,b,r,a,w,l,928
flask,f,l,a,s,k,928
leach,l,e,a,c,h,928
ovine,o,v,i,n,e,928
tacky,t,a,c,k,y,928
towel,t,o,w,e,l,928
ditty,d,i,t,t,y,927
ghost,g,h,o,s,t,927
hover,h,o,v,e,r,927
rivet,r,i,v,e,t,927
vault,v,a,u,l,t,927
chill,c,h,i,l,l,926
ovate,o,v,a,t,e,926
plaid,p,l,a,i,d,926
bleep,b,l,e,e,p,925
decry,d,e,c,r,y,925
fiber,f,i,b,e,r,925
first,f,i,r,s,t,925
floor,f,l,o,o,r,925
froth,f,r,o,t,h,925
hoard,h,o,a,r,d,925
alert,a,l,e,r,t,924
chalk,c,h,a,l,k,924
jaunt,j,a,u,n,t,924
lapel,l,a,p,e,l,924
missy,m,i,s,s,y,924
nasty,n,a,s,t,y,924
ninny,n,i,n,n,y,924
sword,s,w,o,r,d,924
daddy,d,a,d,d,y,923
gland,g,l,a,n,d,923
label,l,a,b,e,l,923
lower,l,o,w,e,r,923
merit,m,e,r,i,t,923
willy,w,i,l,l,y,923
could,c,o,u,l,d,922
foggy,f,o,g,g,y,922
spell,s,p,e,l,l,922
tuber,t,u,b,e,r,922
wrack,w,r,a,c,k,922
cloth,c,l,o,t,h,921
erect,e,r,e,c,t,921
quart,q,u,a,r,t,921
tacit,t,a,c,i,t,920
vague,v,a,g,u,e,920
chard,c,h,a,r,d,919
cloak,c,l,o,a,k,919
groan,g,r,o,a,n,919
learn,l,e,a,r,n,919
lowly,l,o,w,l,y,919
miser,m,i,s,e,r,919
blond,b,l,o,n,d,918
buyer,b,u,y,e,r,918
creak,c,r,e,a,k,918
leper,l,e,p,e,r,918
ramen,r,a,m,e,n,918
rifle,r,i,f,l,e,918
verve,v,e,r,v,e,918
abuse,a,b,u,s,e,917
bound,b,o,u,n,d,917
duvet,d,u,v,e,t,917
riser,r,i,s,e,r,917
abide,a,b,i,d,e,916
aside,a,s,i,d,e,916
cross,c,r,o,s,s,916
flout,f,l,o,u,t,916
grasp,g,r,a,s,p,916
queer,q,u,e,e,r,916
sight,s,i,g,h,t,916
spook,s,p,o,o,k,916
swoon,s,w,o,o,n,916
brush,b,r,u,s,h,915
laden,l,a,d,e,n,915
apart,a,p,a,r,t,914
groin,g,r,o,i,n,914
tithe,t,i,t,h,e,914
class,c,l,a,s,s,913
lunge,l,u,n,g,e,913
order,o,r,d,e,r,913
smock,s,m,o,c,k,913
taken,t,a,k,e,n,913
frock,f,r,o,c,k,912
nerve,n,e,r,v,e,912
posit,p,o,s,i,t,912
rider,r,i,d,e,r,912
swarm,s,w,a,r,m,911
drool,d,r,o,o,l,910
fraud,f,r,a,u,d,910
gipsy,g,i,p,s,y,910
hinge,h,i,n,g,e,910
acute,a,c,u,t,e,909
flack,f,l,a,c,k,909
hilly,h,i,l,l,y,909
lever,l,e,v,e,r,909
shown,s,h,o,w,n,909
awoke,a,w,o,k,e,908
clock,c,l,o,c,k,908
defer,d,e,f,e,r,908
emcee,e,m,c,e,e,908
polar,p,o,l,a,r,908
stein,s,t,e,i,n,908
conch,c,o,n,c,h,907
claim,c,l,a,i,m,906
raven,r,a,v,e,n,906
sneak,s,n,e,a,k,906
build,b,u,i,l,d,905
decoy,d,e,c,o,y,905
dodgy,d,o,d,g,y,905
ledge,l,e,d,g,e,905
swell,s,w,e,l,l,905
wryly,w,r,y,l,y,905
being,b,e,i,n,g,904
catch,c,a,t,c,h,904
derby,d,e,r,b,y,904
mammy,m,a,m,m,y,904
screw,s,c,r,e,w,904
spend,s,p,e,n,d,904
trawl,t,r,a,w,l,904
await,a,w,a,i,t,903
canon,c,a,n,o,n,903
gaffe,g,a,f,f,e,903
raspy,r,a,s,p,y,903
stunk,s,t,u,n,k,903
thief,t,h,i,e,f,903
baron,b,a,r,o,n,902
brawn,b,r,a,w,n,902
guest,g,u,e,s,t,902
pinky,p,i,n,k,y,902
query,q,u,e,r,y,902
refer,r,e,f,e,r,902
revue,r,e,v,u,e,902
stern,s,t,e,r,n,902
stead,s,t,e,a,d,901
bezel,b,e,z,e,l,900
dimly,d,i,m,l,y,900
jelly,j,e,l,l,y,900
wedge,w,e,d,g,e,900
nobly,n,o,b,l,y,899
smell,s,m,e,l,l,899
swing,s,w,i,n,g,899
teddy,t,e,d,d,y,899
totem,t,o,t,e,m,899
witty,w,i,t,t,y,899
begat,b,e,g,a,t,898
bread,b,r,e,a,d,898
tabby,t,a,b,b,y,898
bobby,b,o,b,b,y,897
fudge,f,u,d,g,e,897
abbey,a,b,b,e,y,896
cramp,c,r,a,m,p,896
flyer,f,l,y,e,r,896
giver,g,i,v,e,r,896
grass,g,r,a,s,s,896
harem,h,a,r,e,m,896
heath,h,e,a,t,h,896
ruder,r,u,d,e,r,896
steak,s,t,e,a,k,896
caput,c,a,p,u,t,895
fugue,f,u,g,u,e,895
lofty,l,o,f,t,y,895
riper,r,i,p,e,r,895
serum,s,e,r,u,m,895
thank,t,h,a,n,k,895
vogue,v,o,g,u,e,895
wiser,w,i,s,e,r,895
abode,a,b,o,d,e,894
manor,m,a,n,o,r,894
break,b,r,e,a,k,893
ozone,o,z,o,n,e,893
poppy,p,o,p,p,y,893
trend,t,r,e,n,d,893
dingy,d,i,n,g,y,892
diver,d,i,v,e,r,892
queue,q,u,e,u,e,892
piano,p,i,a,n,o,891
scarf,s,c,a,r,f,891
bulky,b,u,l,k,y,890
cedar,c,e,d,a,r,890
dowel,d,o,w,e,l,890
elegy,e,l,e,g,y,890
fresh,f,r,e,s,h,890
quilt,q,u,i,l,t,890
swept,s,w,e,p,t,890
wider,w,i,d,e,r,890
needy,n,e,e,d,y,889
spawn,s,p,a,w,n,889
unity,u,n,i,t,y,889
child,c,h,i,l,d,888
cling,c,l,i,n,g,888
heard,h,e,a,r,d,888
joust,j,o,u,s,t,888
maybe,m,a,y,b,e,888
prism,p,r,i,s,m,888
sepia,s,e,p,i,a,888
token,t,o,k,e,n,888
evade,e,v,a,d,e,887
spunk,s,p,u,n,k,887
hedge,h,e,d,g,e,886
pound,p,o,u,n,d,886
river,r,i,v,e,r,886
salvo,s,a,l,v,o,886
tonal,t,o,n,a,l,886
snoop,s,n,o,o,p,885
azure,a,z,u,r,e,884
gusty,g,u,s,t,y,884
knave,k,n,a,v,e,884
marsh,m,a,r,s,h,884
midge,m,i,d,g,e,884
touch,t,o,u,c,h,884
beech,b,e,e,c,h,883
biddy,b,i,d,d,y,883
block,b,l,o,c,k,883
going,g,o,i,n,g,883
pesky,p,e,s,k,y,883
snuck,s,n,u,c,k,883
twist,t,w,i,s,t,883
filmy,f,i,l,m,y,882
ridge,r,i,d,g,e,882
torch,t,o,r,c,h,882
angle,a,n,g,l,e,881
storm,s,t,o,r,m,881
tapir,t,a,p,i,r,881
dusty,d,u,s,t,y,880
fixer,f,i,x,e,r,880
found,f,o,u,n,d,880
funky,f,u,n,k,y,880
speak,s,p,e,a,k,880
batch,b,a,t,c,h,879
doing,d,o,i,n,g,879
image,i,m,a,g,e,879
ovary,o,v,a,r,y,879
repel,r,e,p,e,l,879
cabal,c,a,b,a,l,878
