words,turns,guesses
cover,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbggg'], [3, 'rover', 'bgggg'], [4, 'cover', 'ggggg']]"
large,4,"[[1, 'slate', 'byybg'], [2, 'cable', 'bgbyg'], [3, 'valve', 'bgybg'], [4, 'large', 'ggggg']]"
maple,3,"[[1, 'slate', 'byybg'], [2, 'cable', 'bgbgg'], [3, 'maple', 'ggggg']]"
artsy,2,"[[1, 'slate', 'ybyyb'], [2, 'artsy', 'ggggg']]"
chart,3,"[[1, 'slate', 'bbgyb'], [2, 'trait', 'bygbg'], [3, 'chart', 'ggggg']]"
crust,4,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bbbgg'], [3, 'trust', 'bgggg'], [4, 'crust', 'ggggg']]"
fatty,4,"[[1, 'slate', 'bbygb'], [2, 'catty', 'bgggg'], [3, 'patty', 'bgggg'], [4, 'fatty', 'ggggg']]"
folly,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bgggg'], [3, 'dolly', 'bgggg'], [4, 'folly', 'ggggg']]"
warty,4,"[[1, 'slate', 'bbygb'], [2, 'catty', 'bgbgg'], [3, 'party', 'bgggg'], [4, 'warty', 'ggggg']]"
taunt,2,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggggg']]"
ladle,4,"[[1, 'slate', 'byybg'], [2, 'cable', 'bgbgg'], [3, 'maple', 'bgbgg'], [4, 'ladle', 'ggggg']]"
dally,4,"[[1, 'slate', 'byybb'], [2, 'canal', 'bgbby'], [3, 'rally', 'bgggg'], [4, 'dally', 'ggggg']]"
breed,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybgy'], [3, 'creed', 'bgggg'], [4, 'greed', 'bgggg'], [5, 'breed', 'ggggg']]"
beget,4,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'bgbgg'], [3, 'beret', 'ggbgg'], [4, 'beget', 'ggggg']]"
belly,3,"[[1, 'slate', 'bybby'], [2, 'level', 'ygbby'], [3, 'belly', 'ggggg']]"
badge,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'ggbgg'], [4, 'badge', 'ggggg']]"
harry,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgggg'], [3, 'carry', 'bgggg'], [4, 'harry', 'ggggg']]"
roost,4,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bgbgg'], [3, 'boost', 'bgggg'], [4, 'roost', 'ggggg']]"
heady,4,"[[1, 'slate', 'bbgby'], [2, 'beady', 'bgggg'], [3, 'ready', 'bgggg'], [4, 'heady', 'ggggg']]"
dicey,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgb'], [3, 'boney', 'bbbgg'], [4, 'dicey', 'ggggg']]"
brief,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'ybbgy'], [3, 'brief', 'ggggg']]"
diode,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbybg'], [3, 'binge', 'bgbbg'], [4, 'diode', 'ggggg']]"
mange,3,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'ggbbg'], [3, 'mange', 'ggggg']]"
stand,4,"[[1, 'slate', 'gbgyb'], [2, 'start', 'gggbb'], [3, 'stank', 'ggggb'], [4, 'stand', 'ggggg']]"
cairn,3,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbgb'], [3, 'cairn', 'ggggg']]"
cheer,6,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybgg'], [3, 'cider', 'gbbgg'], [4, 'cower', 'gbbgg'], [5, 'cyber', 'gbbgg'], [6, 'cheer', 'ggggg']]"
rouge,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bgygg'], [4, 'rouge', 'ggggg']]"
tardy,4,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggbbb'], [3, 'tabby', 'ggbbg'], [4, 'tardy', 'ggggg']]"
range,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'bgygg'], [4, 'range', 'ggggg']]"
title,2,"[[1, 'slate', 'bybyg'], [2, 'title', 'ggggg']]"
juice,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbggg'], [3, 'voice', 'bbggg'], [4, 'juice', 'ggggg']]"
burly,5,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbbgg'], [3, 'dryly', 'bybgg'], [4, 'curly', 'bgggg'], [5, 'burly', 'ggggg']]"
brand,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbb'], [3, 'brain', 'gggby'], [4, 'brand', 'ggggg']]"
court,4,"[[1, 'slate', 'bbbyb'], [2, 'tight', 'bbbbg'], [3, 'count', 'gggbg'], [4, 'court', 'ggggg']]"
rally,3,"[[1, 'slate', 'byybb'], [2, 'canal', 'bgbby'], [3, 'rally', 'ggggg']]"
skirt,4,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gbbbg'], [3, 'shirt', 'gbggg'], [4, 'skirt', 'ggggg']]"
slept,3,"[[1, 'slate', 'ggbyy'], [2, 'sleet', 'gggbg'], [3, 'slept', 'ggggg']]"
quiet,4,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'bbbgg'], [3, 'covet', 'bbbgg'], [4, 'quiet', 'ggggg']]"
there,4,"[[1, 'slate', 'bbbyg'], [2, 'trice', 'gybbg'], [3, 'three', 'ggyyg'], [4, 'there', 'ggggg']]"
mauve,2,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'ggggg']]"
lorry,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bgybg'], [3, 'loopy', 'ggbbg'], [4, 'lorry', 'ggggg']]"
lapse,3,"[[1, 'slate', 'yyybg'], [2, 'false', 'bgygg'], [3, 'lapse', 'ggggg']]"
stank,3,"[[1, 'slate', 'gbgyb'], [2, 'start', 'gggbb'], [3, 'stank', 'ggggg']]"
plied,3,"[[1, 'slate', 'bgbby'], [2, 'elder', 'bgygb'], [3, 'plied', 'ggggg']]"
bunny,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbgg'], [3, 'bunny', 'ggggg']]"
salon,4,"[[1, 'slate', 'gyybb'], [2, 'sally', 'gggbb'], [3, 'salad', 'gggbb'], [4, 'salon', 'ggggg']]"
tamer,4,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgygg'], [3, 'taker', 'ggbgg'], [4, 'tamer', 'ggggg']]"
friar,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'byyyb'], [3, 'briar', 'bgggg'], [4, 'friar', 'ggggg']]"
stunt,3,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'ggbyg'], [3, 'stunt', 'ggggg']]"
verse,4,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'bbbgg'], [3, 'purse', 'bbggg'], [4, 'verse', 'ggggg']]"
sinew,4,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgb'], [3, 'spied', 'gbygb'], [4, 'sinew', 'ggggg']]"
slush,4,"[[1, 'slate', 'ggbbb'], [2, 'slunk', 'gggbb'], [3, 'slump', 'gggbb'], [4, 'slush', 'ggggg']]"
rinse,4,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'ybbgg'], [3, 'dense', 'bbggg'], [4, 'rinse', 'ggggg']]"
shirk,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'ggbbg'], [3, 'shirk', 'ggggg']]"
study,6,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'ggbyb'], [3, 'stunk', 'gggbb'], [4, 'stump', 'gggbb'], [5, 'stuff', 'gggbb'], [6, 'study', 'ggggg']]"
suing,5,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbb'], [3, 'spiny', 'gbggb'], [4, 'swing', 'gbggg'], [5, 'suing', 'ggggg']]"
taper,5,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgygg'], [3, 'taker', 'ggbgg'], [4, 'tamer', 'ggbgg'], [5, 'taper', 'ggggg']]"
worry,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'byybg'], [3, 'worry', 'ggggg']]"
speed,3,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbggb'], [3, 'speed', 'ggggg']]"
wrist,3,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bbggg'], [3, 'wrist', 'ggggg']]"
brunt,4,"[[1, 'slate', 'bbbyb'], [2, 'tight', 'bbbbg'], [3, 'count', 'bbggg'], [4, 'brunt', 'ggggg']]"
built,2,"[[1, 'slate', 'bybyb'], [2, 'built', 'ggggg']]"
bathe,3,"[[1, 'slate', 'bbyyg'], [2, 'atone', 'yybbg'], [3, 'bathe', 'ggggg']]"
spent,3,"[[1, 'slate', 'gbbyy'], [2, 'sweet', 'gbgbg'], [3, 'spent', 'ggggg']]"
whiny,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbgg'], [3, 'bunny', 'bbbgg'], [4, 'whiny', 'ggggg']]"
woody,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbgbg'], [3, 'woody', 'ggggg']]"
flint,2,"[[1, 'slate', 'bgbyb'], [2, 'flint', 'ggggg']]"
hoist,5,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bgggg'], [3, 'moist', 'bgggg'], [4, 'joist', 'bgggg'], [5, 'hoist', 'ggggg']]"
quite,3,"[[1, 'slate', 'bbbgg'], [2, 'write', 'bbggg'], [3, 'quite', 'ggggg']]"
stain,4,"[[1, 'slate', 'gbgyb'], [2, 'start', 'gggbb'], [3, 'stank', 'gggyb'], [4, 'stain', 'ggggg']]"
camel,5,"[[1, 'slate', 'byyby'], [2, 'legal', 'bybyg'], [3, 'panel', 'bgbgg'], [4, 'hazel', 'bgbgg'], [5, 'camel', 'ggggg']]"
crack,2,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'ggggg']]"
goofy,5,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbgbg'], [3, 'woody', 'bggbg'], [4, 'boozy', 'bggbg'], [5, 'goofy', 'ggggg']]"
trail,2,"[[1, 'slate', 'bygyb'], [2, 'trail', 'ggggg']]"
tasty,3,"[[1, 'slate', 'ybygb'], [2, 'pasty', 'bgggg'], [3, 'tasty', 'ggggg']]"
shorn,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gggbb'], [3, 'shown', 'gggbg'], [4, 'shorn', 'ggggg']]"
leafy,3,"[[1, 'slate', 'bygby'], [2, 'leaky', 'gggbg'], [3, 'leafy', 'ggggg']]"
pulse,3,"[[1, 'slate', 'yybbg'], [2, 'loose', 'ybbgg'], [3, 'pulse', 'ggggg']]"
twice,3,"[[1, 'slate', 'bbbyg'], [2, 'trice', 'gbggg'], [3, 'twice', 'ggggg']]"
brain,3,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbb'], [3, 'brain', 'ggggg']]"
bloat,2,"[[1, 'slate', 'bgyyb'], [2, 'bloat', 'ggggg']]"
gassy,2,"[[1, 'slate', 'ybybb'], [2, 'gassy', 'ggggg']]"
inane,5,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bbgbg'], [3, 'awake', 'bbgbg'], [4, 'peace', 'bbgbg'], [5, 'inane', 'ggggg']]"
paper,5,"[[1, 'slate', 'bbyby'], [2, 'racer', 'bgbgg'], [3, 'wager', 'bgbgg'], [4, 'payer', 'ggbgg'], [5, 'paper', 'ggggg']]"
preen,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybgy'], [3, 'creed', 'bgggb'], [4, 'preen', 'ggggg']]"
butte,4,"[[1, 'slate', 'bbbgg'], [2, 'write', 'bbbgg'], [3, 'quote', 'bgbgg'], [4, 'butte', 'ggggg']]"
cower,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'gbbgg'], [4, 'cower', 'ggggg']]"
droit,4,"[[1, 'slate', 'bbbyb'], [2, 'tight', 'bybbg'], [3, 'print', 'bgybg'], [4, 'droit', 'ggggg']]"
later,3,"[[1, 'slate', 'byyyy'], [2, 'petal', 'bygyy'], [3, 'later', 'ggggg']]"
solid,4,"[[1, 'slate', 'gybbb'], [2, 'spill', 'gbyyb'], [3, 'silky', 'gygbb'], [4, 'solid', 'ggggg']]"
trash,3,"[[1, 'slate', 'ybgyb'], [2, 'toast', 'gbggb'], [3, 'trash', 'ggggg']]"
tulle,3,"[[1, 'slate', 'bybyg'], [2, 'title', 'gbbgg'], [3, 'tulle', 'ggggg']]"
elide,4,"[[1, 'slate', 'bgbbg'], [2, 'glove', 'bgbbg'], [3, 'elude', 'ggbgg'], [4, 'elide', 'ggggg']]"
snout,5,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gbggg'], [3, 'shout', 'gbggg'], [4, 'spout', 'gbggg'], [5, 'snout', 'ggggg']]"
tangy,3,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggbyb'], [3, 'tangy', 'ggggg']]"
coyly,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bgbgg'], [3, 'wooly', 'bgbgg'], [4, 'coyly', 'ggggg']]"
golly,2,"[[1, 'slate', 'bybbb'], [2, 'golly', 'ggggg']]"
fiery,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'gybby'], [3, 'fiery', 'ggggg']]"
poser,3,"[[1, 'slate', 'ybbby'], [2, 'riser', 'bbggg'], [3, 'poser', 'ggggg']]"
glove,2,"[[1, 'slate', 'bgbbg'], [2, 'glove', 'ggggg']]"
today,3,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'gybbb'], [3, 'today', 'ggggg']]"
valet,3,"[[1, 'slate', 'byyyy'], [2, 'petal', 'byyyy'], [3, 'valet', 'ggggg']]"
waste,6,"[[1, 'slate', 'ybygg'], [2, 'caste', 'bgggg'], [3, 'baste', 'bgggg'], [4, 'taste', 'bgggg'], [5, 'paste', 'bgggg'], [6, 'waste', 'ggggg']]"
board,3,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bygbb'], [3, 'board', 'ggggg']]"
eagle,5,"[[1, 'slate', 'byybg'], [2, 'cable', 'bgbgg'], [3, 'maple', 'bgbgg'], [4, 'ladle', 'bgbgg'], [5, 'eagle', 'ggggg']]"
pasty,2,"[[1, 'slate', 'ybygb'], [2, 'pasty', 'ggggg']]"
small,3,"[[1, 'slate', 'gygbb'], [2, 'shall', 'gbggg'], [3, 'small', 'ggggg']]"
spank,4,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbgbg'], [3, 'snack', 'gygbg'], [4, 'spank', 'ggggg']]"
heavy,4,"[[1, 'slate', 'bbgby'], [2, 'beady', 'bggbg'], [3, 'weary', 'bggbg'], [4, 'heavy', 'ggggg']]"
mercy,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbby'], [3, 'merry', 'gggbg'], [4, 'mercy', 'ggggg']]"
water,4,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgggg'], [3, 'eater', 'bgggg'], [4, 'water', 'ggggg']]"
gauze,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bggbg'], [3, 'gauge', 'gggbg'], [4, 'gauze', 'ggggg']]"
dolly,3,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bgggg'], [3, 'dolly', 'ggggg']]"
merry,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbby'], [3, 'merry', 'ggggg']]"
abate,3,"[[1, 'slate', 'bbggg'], [2, 'crate', 'bbggg'], [3, 'abate', 'ggggg']]"
swash,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gygbb'], [3, 'swash', 'ggggg']]"
slunk,2,"[[1, 'slate', 'ggbbb'], [2, 'slunk', 'ggggg']]"
still,3,"[[1, 'slate', 'gybyb'], [2, 'stilt', 'ggggb'], [3, 'still', 'ggggg']]"
nanny,5,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbbg'], [3, 'candy', 'bggbg'], [4, 'fanny', 'bgggg'], [5, 'nanny', 'ggggg']]"
staid,4,"[[1, 'slate', 'gbgyb'], [2, 'start', 'gggbb'], [3, 'stank', 'gggbb'], [4, 'staid', 'ggggg']]"
hence,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbgg'], [3, 'fence', 'bgggg'], [4, 'hence', 'ggggg']]"
loopy,3,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bgybg'], [3, 'loopy', 'ggggg']]"
sharp,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'ggggb'], [3, 'sharp', 'ggggg']]"
snack,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbgbg'], [3, 'snack', 'ggggg']]"
stalk,3,"[[1, 'slate', 'gygyb'], [2, 'stall', 'ggggb'], [3, 'stalk', 'ggggg']]"
tawny,3,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggbgb'], [3, 'tawny', 'ggggg']]"
frail,2,"[[1, 'slate', 'bygbb'], [2, 'frail', 'ggggg']]"
mince,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbygg'], [3, 'mince', 'ggggg']]"
piety,3,"[[1, 'slate', 'bbbgy'], [2, 'petty', 'gybgg'], [3, 'piety', 'ggggg']]"
leery,3,"[[1, 'slate', 'bybby'], [2, 'level', 'ggbbb'], [3, 'leery', 'ggggg']]"
ratty,7,"[[1, 'slate', 'bbygb'], [2, 'catty', 'bgggg'], [3, 'patty', 'bgggg'], [4, 'fatty', 'bgggg'], [5, 'batty', 'bgggg'], [6, 'tatty', 'bgggg'], [7, 'ratty', 'ggggg']]"
heart,3,"[[1, 'slate', 'bbgyy'], [2, 'react', 'yggbg'], [3, 'heart', 'ggggg']]"
agate,4,"[[1, 'slate', 'bbggg'], [2, 'crate', 'bbggg'], [3, 'abate', 'gbggg'], [4, 'agate', 'ggggg']]"
braid,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbb'], [3, 'brain', 'ggggb'], [4, 'braid', 'ggggg']]"
stout,2,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'ggggg']]"
balmy,4,"[[1, 'slate', 'byybb'], [2, 'canal', 'bgbby'], [3, 'rally', 'bggbg'], [4, 'balmy', 'ggggg']]"
filet,4,"[[1, 'slate', 'bybyy'], [2, 'motel', 'bbygy'], [3, 'inlet', 'ybggg'], [4, 'filet', 'ggggg']]"
gruel,5,"[[1, 'slate', 'bybby'], [2, 'level', 'bbbgg'], [3, 'bowel', 'bbbgg'], [4, 'cruel', 'bgggg'], [5, 'gruel', 'ggggg']]"
purer,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bbbgg'], [4, 'power', 'gbbgg'], [5, 'purer', 'ggggg']]"
smash,4,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gygbb'], [3, 'swash', 'gbggg'], [4, 'smash', 'ggggg']]"
proxy,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bggbg'], [3, 'proxy', 'ggggg']]"
fault,3,"[[1, 'slate', 'byyyb'], [2, 'fatal', 'ggyby'], [3, 'fault', 'ggggg']]"
baker,5,"[[1, 'slate', 'bbyby'], [2, 'racer', 'bgbgg'], [3, 'wager', 'bgbgg'], [4, 'payer', 'bgbgg'], [5, 'baker', 'ggggg']]"
chair,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'gygbb'], [3, 'chard', 'gggyb'], [4, 'chair', 'ggggg']]"
gaunt,5,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'bgggg'], [3, 'haunt', 'bgggg'], [4, 'daunt', 'bgggg'], [5, 'gaunt', 'ggggg']]"
prior,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bgybb'], [3, 'prior', 'ggggg']]"
shock,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gggbg'], [3, 'shock', 'ggggg']]"
spelt,2,"[[1, 'slate', 'gybyy'], [2, 'spelt', 'ggggg']]"
bible,3,"[[1, 'slate', 'bybbg'], [2, 'belle', 'gbbgg'], [3, 'bible', 'ggggg']]"
scent,4,"[[1, 'slate', 'gbbyy'], [2, 'sweet', 'gbgbg'], [3, 'spent', 'gbggg'], [4, 'scent', 'ggggg']]"
bagel,3,"[[1, 'slate', 'byyby'], [2, 'legal', 'bygyg'], [3, 'bagel', 'ggggg']]"
glint,3,"[[1, 'slate', 'bgbyb'], [2, 'flint', 'bgggg'], [3, 'glint', 'ggggg']]"
salsa,5,"[[1, 'slate', 'gyybb'], [2, 'sally', 'gggbb'], [3, 'salad', 'gggbb'], [4, 'salon', 'gggbb'], [5, 'salsa', 'ggggg']]"
movie,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbybg'], [3, 'binge', 'bybbg'], [4, 'movie', 'ggggg']]"
curve,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybyg'], [3, 'curve', 'ggggg']]"
gaudy,6,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbbg'], [3, 'candy', 'bgbgg'], [4, 'daddy', 'bgbgg'], [5, 'bawdy', 'bgbgg'], [6, 'gaudy', 'ggggg']]"
eater,3,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgggg'], [3, 'eater', 'ggggg']]"
clash,2,"[[1, 'slate', 'yggbb'], [2, 'clash', 'ggggg']]"
creep,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybgy'], [3, 'creed', 'ggggb'], [4, 'creek', 'ggggb'], [5, 'creep', 'ggggg']]"
haste,7,"[[1, 'slate', 'ybygg'], [2, 'caste', 'bgggg'], [3, 'baste', 'bgggg'], [4, 'taste', 'bgggg'], [5, 'paste', 'bgggg'], [6, 'waste', 'bgggg'], [7, 'haste', 'ggggg']]"
quote,3,"[[1, 'slate', 'bbbgg'], [2, 'write', 'bbbgg'], [3, 'quote', 'ggggg']]"
freed,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'gybgy'], [3, 'freed', 'ggggg']]"
daunt,4,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'bgggg'], [3, 'haunt', 'bgggg'], [4, 'daunt', 'ggggg']]"
stack,4,"[[1, 'slate', 'gbgyb'], [2, 'start', 'gggbb'], [3, 'stank', 'gggbg'], [4, 'stack', 'ggggg']]"
stark,3,"[[1, 'slate', 'gbgyb'], [2, 'start', 'ggggb'], [3, 'stark', 'ggggg']]"
binge,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbybg'], [3, 'binge', 'ggggg']]"
flair,5,"[[1, 'slate', 'bggbb'], [2, 'clank', 'bggbb'], [3, 'plaid', 'bgggb'], [4, 'flail', 'ggggb'], [5, 'flair', 'ggggg']]"
hater,5,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgggg'], [3, 'eater', 'bgggg'], [4, 'water', 'bgggg'], [5, 'hater', 'ggggg']]"
billy,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbggg'], [3, 'dilly', 'bgggg'], [4, 'billy', 'ggggg']]"
beach,3,"[[1, 'slate', 'bbgby'], [2, 'beady', 'gggbb'], [3, 'beach', 'ggggg']]"
bugle,4,"[[1, 'slate', 'bybbg'], [2, 'belle', 'gbbgg'], [3, 'bible', 'gbbgg'], [4, 'bugle', 'ggggg']]"
dunce,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbgg'], [3, 'fence', 'bbggg'], [4, 'dunce', 'ggggg']]"
madly,6,"[[1, 'slate', 'byybb'], [2, 'canal', 'bgbby'], [3, 'rally', 'bgbgg'], [4, 'gaily', 'bgbgg'], [5, 'badly', 'bgggg'], [6, 'madly', 'ggggg']]"
merge,5,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bbggg'], [4, 'verge', 'bgggg'], [5, 'merge', 'ggggg']]"
prank,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbg'], [3, 'drank', 'bgggg'], [4, 'prank', 'ggggg']]"
spill,2,"[[1, 'slate', 'gybbb'], [2, 'spill', 'ggggg']]"
train,3,"[[1, 'slate', 'bbgyb'], [2, 'trait', 'ggggb'], [3, 'train', 'ggggg']]"
cache,5,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'bgbbg'], [4, 'canoe', 'ggbbg'], [5, 'cache', 'ggggg']]"
caddy,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbbg'], [3, 'candy', 'ggbgg'], [4, 'caddy', 'ggggg']]"
gamer,5,"[[1, 'slate', 'bbyby'], [2, 'racer', 'bgbgg'], [3, 'wager', 'bgygg'], [4, 'gayer', 'ggbgg'], [5, 'gamer', 'ggggg']]"
aisle,3,"[[1, 'slate', 'yyybg'], [2, 'false', 'byyyg'], [3, 'aisle', 'ggggg']]"
treat,3,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'byyyy'], [3, 'treat', 'ggggg']]"
flirt,3,"[[1, 'slate', 'bgbyb'], [2, 'flint', 'gggbg'], [3, 'flirt', 'ggggg']]"
globe,3,"[[1, 'slate', 'bgbbg'], [2, 'glove', 'gggbg'], [3, 'globe', 'ggggg']]"
shrew,3,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'ggbgy'], [3, 'shrew', 'ggggg']]"
green,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybgy'], [3, 'creed', 'bgggb'], [4, 'preen', 'bgggg'], [5, 'green', 'ggggg']]"
finer,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'gbbgg'], [3, 'finer', 'ggggg']]"
funny,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbgg'], [3, 'bunny', 'bgggg'], [4, 'funny', 'ggggg']]"
spout,4,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gbggg'], [3, 'shout', 'gbggg'], [4, 'spout', 'ggggg']]"
girly,3,"[[1, 'slate', 'bybbb'], [2, 'golly', 'gbbgg'], [3, 'girly', 'ggggg']]"
agile,5,"[[1, 'slate', 'byybg'], [2, 'cable', 'bybgg'], [3, 'ample', 'gbbgg'], [4, 'angle', 'gbygg'], [5, 'agile', 'ggggg']]"
cider,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'ggggg']]"
frank,5,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbg'], [3, 'drank', 'bgggg'], [4, 'prank', 'bgggg'], [5, 'frank', 'ggggg']]"
payer,4,"[[1, 'slate', 'bbyby'], [2, 'racer', 'bgbgg'], [3, 'wager', 'bgbgg'], [4, 'payer', 'ggggg']]"
shell,2,"[[1, 'slate', 'gybby'], [2, 'shell', 'ggggg']]"
trust,3,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bbbgg'], [3, 'trust', 'ggggg']]"
horde,5,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bggbg'], [4, 'borne', 'bggbg'], [5, 'horde', 'ggggg']]"
stink,3,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'ggbbb'], [3, 'stink', 'ggggg']]"
sweat,3,"[[1, 'slate', 'gbyyy'], [2, 'stead', 'gyggb'], [3, 'sweat', 'ggggg']]"
grail,3,"[[1, 'slate', 'bygbb'], [2, 'frail', 'bgggg'], [3, 'grail', 'ggggg']]"
brink,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bgbgb'], [3, 'brink', 'ggggg']]"
clank,2,"[[1, 'slate', 'bggbb'], [2, 'clank', 'ggggg']]"
furry,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bybbg'], [3, 'furry', 'ggggg']]"
heist,3,"[[1, 'slate', 'ybbyy'], [2, 'beset', 'bgybg'], [3, 'heist', 'ggggg']]"
