words,turns,guesses
shave,5,"[[1, 'slate', 'gbgbg'], [2, 'share', 'gggbg'], [3, 'shade', 'gggbg'], [4, 'shake', 'gggbg'], [5, 'shave', 'ggggg']]"
salty,2,"[[1, 'slate', 'gyygb'], [2, 'salty', 'ggggg']]"
sassy,5,"[[1, 'slate', 'gbybb'], [2, 'saucy', 'ggbbg'], [3, 'savoy', 'ggbbg'], [4, 'sandy', 'ggbbg'], [5, 'sassy', 'ggggg']]"
slope,3,"[[1, 'slate', 'ggbbg'], [2, 'slice', 'ggbbg'], [3, 'slope', 'ggggg']]"
since,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gggbg'], [4, 'since', 'ggggg']]"
swine,5,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gyybg'], [4, 'shine', 'gbggg'], [5, 'swine', 'ggggg']]"
poise,5,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'bgbgg'], [3, 'house', 'bgbgg'], [4, 'posse', 'ggbgg'], [5, 'poise', 'ggggg']]"
boney,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgb'], [3, 'boney', 'ggggg']]"
snore,5,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbggg'], [3, 'shore', 'gbggg'], [4, 'score', 'gbggg'], [5, 'snore', 'ggggg']]"
stole,2,"[[1, 'slate', 'gybyg'], [2, 'stole', 'ggggg']]"
sadly,3,"[[1, 'slate', 'gyybb'], [2, 'sally', 'ggbgg'], [3, 'sadly', 'ggggg']]"
raise,3,"[[1, 'slate', 'ybybg'], [2, 'pause', 'bgbgg'], [3, 'raise', 'ggggg']]"
arise,3,"[[1, 'slate', 'ybybg'], [2, 'pause', 'bybgg'], [3, 'arise', 'ggggg']]"
spice,5,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'ggbbg'], [3, 'spine', 'gggbg'], [4, 'spike', 'gggbg'], [5, 'spice', 'ggggg']]"
spire,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'ggbgg'], [3, 'spire', 'ggggg']]"
peace,4,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bbgbg'], [3, 'awake', 'bbgbg'], [4, 'peace', 'ggggg']]"
grace,5,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'gggbg'], [3, 'graze', 'gggbg'], [4, 'grape', 'gggbg'], [5, 'grace', 'ggggg']]"
slimy,3,"[[1, 'slate', 'ggbbb'], [2, 'slunk', 'ggbbb'], [3, 'slimy', 'ggggg']]"
store,3,"[[1, 'slate', 'gbbyg'], [2, 'stone', 'gggbg'], [3, 'store', 'ggggg']]"
cause,3,"[[1, 'slate', 'ybybg'], [2, 'pause', 'bgggg'], [3, 'cause', 'ggggg']]"
crier,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'gybgg'], [4, 'crier', 'ggggg']]"
prone,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'ggbbg'], [3, 'prone', 'ggggg']]"
trice,2,"[[1, 'slate', 'bbbyg'], [2, 'trice', 'ggggg']]"
sheet,3,"[[1, 'slate', 'gbbyy'], [2, 'sweet', 'gbggg'], [3, 'sheet', 'ggggg']]"
blare,2,"[[1, 'slate', 'bggbg'], [2, 'blare', 'ggggg']]"
smile,2,"[[1, 'slate', 'gybbg'], [2, 'smile', 'ggggg']]"
spite,4,"[[1, 'slate', 'gbbgg'], [2, 'smite', 'gbggg'], [3, 'suite', 'gbggg'], [4, 'spite', 'ggggg']]"
plane,5,"[[1, 'slate', 'bggbg'], [2, 'blare', 'bggbg'], [3, 'flame', 'bggbg'], [4, 'glade', 'bggbg'], [5, 'plane', 'ggggg']]"
scone,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbgbg'], [3, 'shone', 'gbggg'], [4, 'scone', 'ggggg']]"
crony,2,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'ggggg']]"
briny,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bgbgg'], [3, 'briny', 'ggggg']]"
grate,3,"[[1, 'slate', 'bbggg'], [2, 'crate', 'bgggg'], [3, 'grate', 'ggggg']]"
salve,2,"[[1, 'slate', 'gyybg'], [2, 'salve', 'ggggg']]"
cagey,3,"[[1, 'slate', 'bbyby'], [2, 'racer', 'bgygb'], [3, 'cagey', 'ggggg']]"
price,2,"[[1, 'slate', 'bbbbg'], [2, 'price', 'ggggg']]"
shady,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gggbb'], [3, 'shady', 'ggggg']]"
stage,3,"[[1, 'slate', 'gbgyg'], [2, 'stare', 'gggbg'], [3, 'stage', 'ggggg']]"
clone,4,"[[1, 'slate', 'bgbbg'], [2, 'glove', 'bggbg'], [3, 'elope', 'bggbg'], [4, 'clone', 'ggggg']]"
prose,4,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'bbggg'], [3, 'chose', 'bbggg'], [4, 'prose', 'ggggg']]"
arose,4,"[[1, 'slate', 'ybybg'], [2, 'pause', 'bybgg'], [3, 'arise', 'ggbgg'], [4, 'arose', 'ggggg']]"
spore,2,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'ggggg']]"
skate,3,"[[1, 'slate', 'gbggg'], [2, 'state', 'gbggg'], [3, 'skate', 'ggggg']]"
siege,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'ggbgg'], [4, 'siege', 'ggggg']]"
trite,3,"[[1, 'slate', 'bbbgg'], [2, 'write', 'bgggg'], [3, 'trite', 'ggggg']]"
surer,3,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgg'], [3, 'surer', 'ggggg']]"
chase,2,"[[1, 'slate', 'ybgbg'], [2, 'chase', 'ggggg']]"
crave,3,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bgggg'], [3, 'crave', 'ggggg']]"
sandy,4,"[[1, 'slate', 'gbybb'], [2, 'saucy', 'ggbbg'], [3, 'savoy', 'ggbbg'], [4, 'sandy', 'ggggg']]"
erase,3,"[[1, 'slate', 'ybgbg'], [2, 'chase', 'bbggg'], [3, 'erase', 'ggggg']]"
serve,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbyg'], [3, 'serve', 'ggggg']]"
surly,3,"[[1, 'slate', 'gybbb'], [2, 'spill', 'gbbgb'], [3, 'surly', 'ggggg']]"
scaly,3,"[[1, 'slate', 'gygbb'], [2, 'shall', 'gbggb'], [3, 'scaly', 'ggggg']]"
snake,4,"[[1, 'slate', 'gbgbg'], [2, 'share', 'gbgbg'], [3, 'spade', 'gbgbg'], [4, 'snake', 'ggggg']]"
spiny,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbb'], [3, 'spiny', 'ggggg']]"
close,2,"[[1, 'slate', 'ygbbg'], [2, 'close', 'ggggg']]"
sunny,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbb'], [3, 'spiny', 'gbbgg'], [4, 'sunny', 'ggggg']]"
shaky,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gggby'], [3, 'shaky', 'ggggg']]"
smite,2,"[[1, 'slate', 'gbbgg'], [2, 'smite', 'ggggg']]"
stony,5,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gggbb'], [3, 'stork', 'gggbb'], [4, 'stoop', 'gggbb'], [5, 'stony', 'ggggg']]"
puree,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'gybbg'], [3, 'purge', 'gggbg'], [4, 'puree', 'ggggg']]"
goose,3,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'bgggg'], [3, 'goose', 'ggggg']]"
lease,2,"[[1, 'slate', 'yygbg'], [2, 'lease', 'ggggg']]"
shalt,3,"[[1, 'slate', 'gygyb'], [2, 'stall', 'gyggb'], [3, 'shalt', 'ggggg']]"
sober,5,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgg'], [3, 'surer', 'gbbgg'], [4, 'sower', 'ggbgg'], [5, 'sober', 'ggggg']]"
swore,6,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbggg'], [3, 'shore', 'gbggg'], [4, 'score', 'gbggg'], [5, 'snore', 'gbggg'], [6, 'swore', 'ggggg']]"
scary,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbggb'], [3, 'scary', 'ggggg']]"
stake,4,"[[1, 'slate', 'gbgyg'], [2, 'stare', 'gggbg'], [3, 'stage', 'gggbg'], [4, 'stake', 'ggggg']]"
drone,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bgbbg'], [3, 'drove', 'gggbg'], [4, 'drone', 'ggggg']]"
solve,3,"[[1, 'slate', 'gybbg'], [2, 'smile', 'gbbyg'], [3, 'solve', 'ggggg']]"
spade,3,"[[1, 'slate', 'gbgbg'], [2, 'share', 'gbgbg'], [3, 'spade', 'ggggg']]"
brake,3,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bggbg'], [3, 'brake', 'ggggg']]"
place,6,"[[1, 'slate', 'bggbg'], [2, 'blare', 'bggbg'], [3, 'flame', 'bggbg'], [4, 'glade', 'bggbg'], [5, 'plane', 'gggbg'], [6, 'place', 'ggggg']]"
score,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbggg'], [3, 'shore', 'gbggg'], [4, 'score', 'ggggg']]"
moose,4,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'bgggg'], [3, 'goose', 'bgggg'], [4, 'moose', 'ggggg']]"
safer,4,"[[1, 'slate', 'gbyby'], [2, 'spear', 'gbyyg'], [3, 'saner', 'ggbgg'], [4, 'safer', 'ggggg']]"
shove,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbgbg'], [3, 'shone', 'gggbg'], [4, 'shove', 'ggggg']]"
crime,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bggyg'], [3, 'crime', 'ggggg']]"
fairy,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbgg'], [3, 'hairy', 'bgggg'], [4, 'fairy', 'ggggg']]"
borne,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bggbg'], [4, 'borne', 'ggggg']]"
rainy,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgybg'], [3, 'randy', 'ggybg'], [4, 'rainy', 'ggggg']]"
flare,3,"[[1, 'slate', 'bggbg'], [2, 'blare', 'bgggg'], [3, 'flare', 'ggggg']]"
stave,5,"[[1, 'slate', 'gbgyg'], [2, 'stare', 'gggbg'], [3, 'stage', 'gggbg'], [4, 'stake', 'gggbg'], [5, 'stave', 'ggggg']]"
seedy,4,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbgbb'], [3, 'spend', 'gbgby'], [4, 'seedy', 'ggggg']]"
brave,4,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bgggg'], [3, 'crave', 'bgggg'], [4, 'brave', 'ggggg']]"
payee,5,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'bgbbg'], [4, 'canoe', 'bgbbg'], [5, 'payee', 'ggggg']]"
sheer,2,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'ggggg']]"
craze,4,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bggbg'], [3, 'brake', 'bggbg'], [4, 'craze', 'ggggg']]"
daisy,3,"[[1, 'slate', 'ybybb'], [2, 'gassy', 'bgbgg'], [3, 'daisy', 'ggggg']]"
trade,3,"[[1, 'slate', 'bbgyg'], [2, 'trace', 'gggbg'], [3, 'trade', 'ggggg']]"
savoy,3,"[[1, 'slate', 'gbybb'], [2, 'saucy', 'ggbbg'], [3, 'savoy', 'ggggg']]"
sieve,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'ggbbg'], [4, 'sieve', 'ggggg']]"
surge,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbyg'], [3, 'serve', 'gbgbg'], [4, 'surge', 'ggggg']]"
teary,3,"[[1, 'slate', 'bbgyy'], [2, 'react', 'yggby'], [3, 'teary', 'ggggg']]"
plate,2,"[[1, 'slate', 'bgggg'], [2, 'plate', 'ggggg']]"
snide,5,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gyybg'], [4, 'shine', 'gbgyg'], [5, 'snide', 'ggggg']]"
shied,3,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'ggbgb'], [3, 'shied', 'ggggg']]"
gaily,4,"[[1, 'slate', 'byybb'], [2, 'canal', 'bgbby'], [3, 'rally', 'bgbgg'], [4, 'gaily', 'ggggg']]"
smote,3,"[[1, 'slate', 'gbbgg'], [2, 'smite', 'ggbgg'], [3, 'smote', 'ggggg']]"
spicy,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbb'], [3, 'spiny', 'gggbg'], [4, 'spicy', 'ggggg']]"
coast,3,"[[1, 'slate', 'ybgyb'], [2, 'toast', 'bgggg'], [3, 'coast', 'ggggg']]"
covey,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbggb'], [3, 'coven', 'ggggb'], [4, 'covey', 'ggggg']]"
daily,5,"[[1, 'slate', 'byybb'], [2, 'canal', 'bgbby'], [3, 'rally', 'bgbgg'], [4, 'gaily', 'bgggg'], [5, 'daily', 'ggggg']]"
money,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgb'], [3, 'boney', 'bgggg'], [4, 'money', 'ggggg']]"
singe,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'ggggg']]"
loose,2,"[[1, 'slate', 'yybbg'], [2, 'loose', 'ggggg']]"
pause,2,"[[1, 'slate', 'ybybg'], [2, 'pause', 'ggggg']]"
silly,3,"[[1, 'slate', 'gybbb'], [2, 'spill', 'gbygb'], [3, 'silly', 'ggggg']]"
matey,4,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgggb'], [3, 'eaten', 'bgggb'], [4, 'matey', 'ggggg']]"
parse,3,"[[1, 'slate', 'ybybg'], [2, 'pause', 'ggbgg'], [3, 'parse', 'ggggg']]"
boule,5,"[[1, 'slate', 'bybbg'], [2, 'belle', 'gbbgg'], [3, 'bible', 'gbbgg'], [4, 'bugle', 'gybgg'], [5, 'boule', 'ggggg']]"
melee,3,"[[1, 'slate', 'bybbg'], [2, 'belle', 'bggbg'], [3, 'melee', 'ggggg']]"
story,4,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gggbb'], [3, 'stork', 'ggggb'], [4, 'story', 'ggggg']]"
frame,6,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bggbg'], [3, 'brake', 'bggbg'], [4, 'craze', 'bggbg'], [5, 'drape', 'bggbg'], [6, 'frame', 'ggggg']]"
sower,4,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgg'], [3, 'surer', 'gbbgg'], [4, 'sower', 'ggggg']]"
booty,4,"[[1, 'slate', 'bbbgb'], [2, 'mirth', 'bbbgb'], [3, 'putty', 'bbbgg'], [4, 'booty', 'ggggg']]"
bride,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bggbg'], [3, 'brine', 'gggbg'], [4, 'bride', 'ggggg']]"
glare,4,"[[1, 'slate', 'bggbg'], [2, 'blare', 'bgggg'], [3, 'flare', 'bgggg'], [4, 'glare', 'ggggg']]"
three,3,"[[1, 'slate', 'bbbyg'], [2, 'trice', 'gybbg'], [3, 'three', 'ggggg']]"
canoe,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'bgbbg'], [4, 'canoe', 'ggggg']]"
dairy,5,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbgg'], [3, 'hairy', 'bgggg'], [4, 'fairy', 'bgggg'], [5, 'dairy', 'ggggg']]"
snipe,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gybbg'], [3, 'snipe', 'ggggg']]"
alone,3,"[[1, 'slate', 'bgybg'], [2, 'alike', 'ggbbg'], [3, 'alone', 'ggggg']]"
tepee,4,"[[1, 'slate', 'bbbyg'], [2, 'trice', 'gbbbg'], [3, 'theme', 'gbybg'], [4, 'tepee', 'ggggg']]"
sully,3,"[[1, 'slate', 'gybbb'], [2, 'spill', 'gbbgb'], [3, 'sully', 'ggggg']]"
scene,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gbybg'], [4, 'scene', 'ggggg']]"
phase,3,"[[1, 'slate', 'ybgbg'], [2, 'chase', 'bgggg'], [3, 'phase', 'ggggg']]"
canny,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbbg'], [3, 'candy', 'gggbg'], [4, 'canny', 'ggggg']]"
sever,4,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbygg'], [3, 'sewer', 'ggbgg'], [4, 'sever', 'ggggg']]"
corny,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'gyygg'], [3, 'corny', 'ggggg']]"
slash,2,"[[1, 'slate', 'gggbb'], [2, 'slash', 'ggggg']]"
boast,4,"[[1, 'slate', 'ybgyb'], [2, 'toast', 'bgggg'], [3, 'coast', 'bgggg'], [4, 'boast', 'ggggg']]"
sissy,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbb'], [3, 'spiny', 'gbybg'], [4, 'sissy', 'ggggg']]"
grade,6,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'gggbg'], [3, 'graze', 'gggbg'], [4, 'grape', 'gggbg'], [5, 'grace', 'gggbg'], [6, 'grade', 'ggggg']]"
mealy,3,"[[1, 'slate', 'bygby'], [2, 'leaky', 'yggbg'], [3, 'mealy', 'ggggg']]"
carry,3,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgggg'], [3, 'carry', 'ggggg']]"
chose,3,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'bbggg'], [3, 'chose', 'ggggg']]"
segue,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gbbyg'], [4, 'segue', 'ggggg']]"
shirt,3,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gbbbg'], [3, 'shirt', 'ggggg']]"
prune,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'ggbbg'], [3, 'prone', 'ggbgg'], [4, 'prune', 'ggggg']]"
farce,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'bggbg'], [4, 'farce', 'ggggg']]"
siren,3,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgy'], [3, 'siren', 'ggggg']]"
snaky,3,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbgby'], [3, 'snaky', 'ggggg']]"
write,2,"[[1, 'slate', 'bbbgg'], [2, 'write', 'ggggg']]"
noise,3,"[[1, 'slate', 'ybbbg'], [2, 'noose', 'ggbgg'], [3, 'noise', 'ggggg']]"
sleek,2,"[[1, 'slate', 'ggbby'], [2, 'sleek', 'ggggg']]"
drier,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'byygg'], [4, 'drier', 'ggggg']]"
blade,3,"[[1, 'slate', 'bggbg'], [2, 'blare', 'gggbg'], [3, 'blade', 'ggggg']]"
blame,4,"[[1, 'slate', 'bggbg'], [2, 'blare', 'gggbg'], [3, 'blade', 'gggbg'], [4, 'blame', 'ggggg']]"
skier,5,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgg'], [3, 'surer', 'gbbgg'], [4, 'sower', 'gbbgg'], [5, 'skier', 'ggggg']]"
spike,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'ggbbg'], [3, 'spine', 'gggbg'], [4, 'spike', 'ggggg']]"
urine,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bggbg'], [3, 'brine', 'bgggg'], [4, 'urine', 'ggggg']]"
irate,4,"[[1, 'slate', 'bbggg'], [2, 'crate', 'bgggg'], [3, 'grate', 'bgggg'], [4, 'irate', 'ggggg']]"
corer,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'gbbgg'], [4, 'cower', 'ggbgg'], [5, 'corer', 'ggggg']]"
honey,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgb'], [3, 'boney', 'bgggg'], [4, 'money', 'bgggg'], [5, 'honey', 'ggggg']]"
pride,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'gggbg'], [3, 'pride', 'ggggg']]"
brute,3,"[[1, 'slate', 'bbbgg'], [2, 'write', 'bgbgg'], [3, 'brute', 'ggggg']]"
cried,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgy'], [3, 'dried', 'bgggg'], [4, 'cried', 'ggggg']]"
prime,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'gggbg'], [3, 'pride', 'gggbg'], [4, 'prime', 'ggggg']]"
sooth,2,"[[1, 'slate', 'gbbgb'], [2, 'sooth', 'ggggg']]"
spiel,3,"[[1, 'slate', 'gybby'], [2, 'shell', 'gbybg'], [3, 'spiel', 'ggggg']]"
stoke,4,"[[1, 'slate', 'gbbyg'], [2, 'stone', 'gggbg'], [3, 'store', 'gggbg'], [4, 'stoke', 'ggggg']]"
piney,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgb'], [3, 'boney', 'bbggg'], [4, 'piney', 'ggggg']]"
